timestamp,src,dst,proto,pkt_len,dataset,prediction
2025-12-06 00:27:35,104.18.39.21,172.26.57.105,6,78,NSL-KDD,normal
2025-12-06 00:27:35,172.26.57.105,104.18.39.21,6,82,NSL-KDD,normal
2025-12-06 00:27:35,104.18.39.21,172.26.57.105,6,78,NSL-KDD,normal
2025-12-06 00:27:35,172.26.57.105,104.18.39.21,6,66,NSL-KDD,normal
2025-12-06 00:27:35,104.18.39.21,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:36,20.189.172.32,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:27:37,172.26.57.105,20.189.173.4,6,66,NSL-KDD,normal
2025-12-06 00:27:37,172.26.57.105,172.26.57.223,17,92,NSL-KDD,normal
2025-12-06 00:27:38,172.26.57.105,172.26.57.223,17,92,NSL-KDD,normal
2025-12-06 00:27:38,172.26.57.223,172.26.57.105,17,212,NSL-KDD,normal
2025-12-06 00:27:38,172.26.57.105,20.189.173.4,6,66,NSL-KDD,normal
2025-12-06 00:27:38,20.189.173.4,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:27:38,172.26.57.105,20.189.173.4,6,54,NSL-KDD,normal
2025-12-06 00:27:38,172.26.57.105,20.189.173.4,6,571,NSL-KDD,normal
2025-12-06 00:27:38,20.189.173.4,172.26.57.105,6,153,NSL-KDD,normal
2025-12-06 00:27:38,172.26.57.105,20.189.173.4,6,491,NSL-KDD,normal
2025-12-06 00:27:39,20.189.173.4,172.26.57.105,6,1434,NSL-KDD,normal
2025-12-06 00:27:39,20.189.173.4,172.26.57.105,6,1434,NSL-KDD,normal
2025-12-06 00:27:39,20.189.173.4,172.26.57.105,6,1434,NSL-KDD,normal
2025-12-06 00:27:39,20.189.173.4,172.26.57.105,6,406,NSL-KDD,normal
2025-12-06 00:27:39,172.26.57.105,20.189.173.4,6,54,NSL-KDD,normal
2025-12-06 00:27:39,172.26.57.105,20.189.173.4,6,1434,NSL-KDD,normal
2025-12-06 00:27:39,172.26.57.105,20.189.173.4,6,690,NSL-KDD,normal
2025-12-06 00:27:39,20.189.173.4,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:39,20.189.173.4,172.26.57.105,6,157,NSL-KDD,normal
2025-12-06 00:27:39,20.189.173.4,172.26.57.105,6,519,NSL-KDD,normal
2025-12-06 00:27:40,172.26.57.105,20.189.173.4,6,54,NSL-KDD,normal
2025-12-06 00:27:40,172.26.57.105,20.189.173.4,6,78,NSL-KDD,normal
2025-12-06 00:27:40,172.26.57.105,20.189.173.4,6,54,NSL-KDD,normal
2025-12-06 00:27:40,20.189.173.4,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:40,20.189.173.4,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:41,172.26.57.105,13.107.5.93,6,66,NSL-KDD,normal
2025-12-06 00:27:42,20.189.172.32,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:42,172.26.57.105,20.189.173.4,6,172,NSL-KDD,normal
2025-12-06 00:27:42,172.26.57.105,20.189.173.4,6,93,NSL-KDD,normal
2025-12-06 00:27:42,172.26.57.105,20.189.173.4,6,1434,NSL-KDD,normal
2025-12-06 00:27:43,172.26.57.105,20.189.173.4,6,1434,NSL-KDD,normal
2025-12-06 00:27:43,172.26.57.105,20.189.173.4,6,1434,NSL-KDD,normal
2025-12-06 00:27:43,172.26.57.105,20.189.173.4,6,1229,NSL-KDD,normal
2025-12-06 00:27:43,20.189.173.4,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:43,20.189.173.4,172.26.57.105,6,93,NSL-KDD,normal
2025-12-06 00:27:43,20.189.173.4,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:43,20.189.173.4,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:43,172.26.57.105,20.189.173.4,6,54,NSL-KDD,normal
2025-12-06 00:27:43,20.189.173.4,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:43,20.189.173.4,172.26.57.105,6,153,NSL-KDD,normal
2025-12-06 00:27:43,172.26.57.105,20.189.173.4,6,89,NSL-KDD,normal
2025-12-06 00:27:44,20.189.173.4,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:44,13.204.106.34,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:44,172.26.57.105,13.204.106.34,6,54,NSL-KDD,normal
2025-12-06 00:27:45,172.26.57.105,13.204.106.34,6,55,NSL-KDD,normal
2025-12-06 00:27:45,174.129.191.240,172.26.57.105,6,85,NSL-KDD,normal
2025-12-06 00:27:45,174.129.191.240,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:45,172.26.57.105,174.129.191.240,6,54,NSL-KDD,normal
2025-12-06 00:27:45,13.204.106.34,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:27:45,172.26.57.105,172.26.57.223,6,55,NSL-KDD,normal
2025-12-06 00:27:45,172.26.57.223,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:27:46,172.26.57.105,172.26.57.223,17,92,NSL-KDD,normal
2025-12-06 00:27:46,172.26.57.105,172.26.57.223,17,92,NSL-KDD,normal
2025-12-06 00:27:46,172.26.57.105,104.18.39.21,6,144,NSL-KDD,normal
2025-12-06 00:27:46,172.26.57.223,172.26.57.105,17,212,NSL-KDD,normal
2025-12-06 00:27:46,172.26.57.223,172.26.57.105,17,256,NSL-KDD,normal
2025-12-06 00:27:46,172.26.57.105,20.189.173.4,6,66,NSL-KDD,normal
2025-12-06 00:27:47,172.26.57.105,172.26.57.223,6,66,NSL-KDD,normal
2025-12-06 00:27:47,172.26.57.105,172.26.57.223,6,66,NSL-KDD,normal
2025-12-06 00:27:47,172.26.57.105,172.26.57.223,6,66,NSL-KDD,normal
2025-12-06 00:27:47,172.26.57.223,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:27:47,172.26.57.223,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:27:47,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:47,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:48,172.26.57.105,172.26.57.223,6,56,NSL-KDD,normal
2025-12-06 00:27:48,172.26.57.105,172.26.57.223,6,86,NSL-KDD,normal
2025-12-06 00:27:48,172.26.57.105,172.26.57.223,6,56,NSL-KDD,normal
2025-12-06 00:27:48,172.26.57.105,172.26.57.223,6,86,NSL-KDD,normal
2025-12-06 00:27:48,172.26.57.223,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:27:48,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:48,172.26.57.105,172.26.57.223,6,56,NSL-KDD,normal
2025-12-06 00:27:48,172.26.57.105,172.26.57.223,6,86,NSL-KDD,normal
2025-12-06 00:27:49,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:49,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:49,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:49,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:49,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:49,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:49,172.26.57.105,20.189.173.4,6,66,NSL-KDD,normal
2025-12-06 00:27:50,104.18.39.21,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:50,104.18.39.21,172.26.57.105,6,133,NSL-KDD,normal
2025-12-06 00:27:50,172.26.57.223,172.26.57.105,6,55,NSL-KDD,normal
2025-12-06 00:27:50,172.26.57.223,172.26.57.105,6,55,NSL-KDD,normal
2025-12-06 00:27:50,20.189.173.4,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:27:51,172.26.57.105,20.189.173.4,6,54,NSL-KDD,normal
2025-12-06 00:27:51,172.26.57.105,20.189.173.4,6,571,NSL-KDD,normal
2025-12-06 00:27:51,172.26.57.105,104.18.39.21,6,54,NSL-KDD,normal
2025-12-06 00:27:51,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:51,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:51,172.26.57.223,172.26.57.105,6,115,NSL-KDD,normal
2025-12-06 00:27:51,172.26.57.223,172.26.57.105,6,112,NSL-KDD,normal
2025-12-06 00:27:51,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:52,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:52,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:52,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:52,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:52,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:52,172.26.57.105,172.26.57.223,6,55,NSL-KDD,normal
2025-12-06 00:27:52,172.26.57.223,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:27:52,20.189.173.4,172.26.57.105,6,153,NSL-KDD,normal
2025-12-06 00:27:52,172.26.57.105,20.189.173.4,6,491,NSL-KDD,normal
2025-12-06 00:27:52,20.189.173.4,172.26.57.105,6,1434,NSL-KDD,normal
2025-12-06 00:27:52,20.189.173.4,172.26.57.105,6,1434,NSL-KDD,normal
2025-12-06 00:27:52,20.189.173.4,172.26.57.105,6,1434,NSL-KDD,normal
2025-12-06 00:27:53,20.189.173.4,172.26.57.105,6,406,NSL-KDD,normal
2025-12-06 00:27:53,172.26.57.105,20.189.173.4,6,54,NSL-KDD,normal
2025-12-06 00:27:53,172.26.57.105,20.189.173.4,6,1434,NSL-KDD,normal
2025-12-06 00:27:53,172.26.57.105,20.189.173.4,6,843,NSL-KDD,normal
2025-12-06 00:27:53,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:53,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:53,20.189.173.4,172.26.57.105,6,157,NSL-KDD,normal
2025-12-06 00:27:53,20.189.173.4,172.26.57.105,6,518,NSL-KDD,normal
2025-12-06 00:27:53,172.26.57.105,20.189.173.4,6,54,NSL-KDD,normal
2025-12-06 00:27:54,172.26.57.105,20.189.173.4,6,78,NSL-KDD,normal
2025-12-06 00:27:54,172.26.57.105,20.189.173.4,6,54,NSL-KDD,normal
2025-12-06 00:27:54,20.189.173.4,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:54,20.189.173.4,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:54,172.26.57.105,172.26.57.223,17,92,NSL-KDD,normal
2025-12-06 00:27:54,172.26.57.105,172.26.57.223,17,92,NSL-KDD,normal
2025-12-06 00:27:54,172.26.57.105,172.26.57.223,17,92,NSL-KDD,normal
2025-12-06 00:27:54,172.26.57.223,172.26.57.105,17,360,NSL-KDD,normal
2025-12-06 00:27:54,172.26.57.223,172.26.57.105,17,320,NSL-KDD,normal
2025-12-06 00:27:54,172.26.57.223,172.26.57.105,17,212,NSL-KDD,normal
2025-12-06 00:27:55,172.26.57.105,20.189.173.4,6,66,NSL-KDD,normal
2025-12-06 00:27:55,172.26.57.105,20.189.173.4,6,66,NSL-KDD,normal
2025-12-06 00:27:55,172.26.57.128,224.0.0.251,17,103,NSL-KDD,normal
2025-12-06 00:27:55,172.26.57.105,104.18.39.21,6,144,NSL-KDD,normal
2025-12-06 00:27:55,104.18.39.21,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:27:55,104.18.39.21,172.26.57.105,6,133,NSL-KDD,normal
2025-12-06 00:27:55,172.26.57.105,104.18.39.21,6,54,NSL-KDD,normal
2025-12-06 00:27:55,172.26.57.105,20.189.173.4,6,66,NSL-KDD,normal
2025-12-06 00:27:55,172.26.57.105,172.26.57.223,6,66,NSL-KDD,normal
2025-12-06 00:27:56,172.26.57.105,172.26.57.223,6,66,NSL-KDD,normal
2025-12-06 00:27:56,172.26.57.105,172.26.57.223,6,66,NSL-KDD,normal
2025-12-06 00:27:56,172.26.57.223,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:27:56,172.26.57.223,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:27:56,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:27:56,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
